Nombre,Categoría,Dirección,Población,Teléfono,Web
"Perruqueria Canina Koko","Tienda de animales","Carrer Irlanda, 22, local 1, 08303 Mataró, Barcelona","Mataró","678 02 93 36","https://www.instagram.com/tienda_para_perros_?igsh=MWkyMGsyeG5xNTBvOQ=="
"Guaupetons Perruqueria Canina","Peluquero de mascotas","Ronda President Tarradellas, 74, 08303 Mataró, Barcelona","Mataró","665 47 72 91","http://www.guaupetons.com/"
"Omnifauna","Guardería canina","Camí de les Vinyes d'en Sumells, 39, 08304 Mataró, Barcelona","Mataró","652 05 70 73","http://www.omnifauna.com/"
"Mascotas 1000 | Tienda de Animales en Mollet","Tienda de productos para mascotas","Passeig Victòria Garcés, 11, 08100 Mollet del Vallès, Barcelona","Mollet del Vallès","617 28 02 96","https://mascotas1000.com/"
"faunAmic","Tienda de animales","Av. de Jaume I, 107, 08100 Mollet del Vallès, Barcelona","Mollet del Vallès","935 70 80 31","http://www.faunamic.com/shop/"
"EL VALLE DEL CAN","Tienda de animales","Avinguda de Burgos, 25-27, 08100 Mollet del Vallès, Barcelona","Mollet del Vallès","935 93 31 39","https://www.facebook.com/ValledelCan/"
"Fauna Tarrés","Tienda de animales","Carrer de Gaietà Vínzia, 15, 08100 Mollet del Vallès, Barcelona","Mollet del Vallès","935 93 11 34",""
"AGROBOTIGA CN MOLLET","Tienda de productos para mascotas","Carrer d'Anselm Clavé, 38, 40, 08100 Mollet del Vallès, Barcelona","Mollet del Vallès","661 81 85 74","http://www.agrobotigamollet.com/"
"Aviarium","Pajarería","Carrer de Can Pantiquet, 34, 08100 Mollet del Vallès, Barcelona","Mollet del Vallès","930 37 55 04",""
"Terranova - El Cau Animal Mollet","Tienda de productos para mascotas","Av. d'Antoni Gaudí, 53, 08100 Mollet del Vallès, Barcelona","Mollet del Vallès","935 70 70 34","https://www.terranovacnc.com/tiendas/tienda-productos-mascotas-mollet-del-valles/"
"Criaturas","Tienda de alimentos para animales","Rambla de Pompeu Fabra, 30, 08100 Mollet del Vallès, Barcelona","Mollet del Vallès","931 73 93 04",""
"Winner Plus España Distribución","Tienda de alimentos para animales","Carrer de Bilbao, 65, 08100 Mollet del Vallès, Barcelona","Mollet del Vallès","616 98 38 45","https://winner-plus.es/"
"Veterinaris ADOPTA UN AMIC","Veterinario","Av. de Jaume I, 149, 08100 Mollet del Vallès, Barcelona","Mollet del Vallès","933 80 33 57",""
"City Dog Mollet","Peluquero de mascotas","Avinguda de Rivoli, 22, local 6, 08100 Mollet del Vallès, Barcelona","Mollet del Vallès","644 03 78 42",""
"Clinica Veterinaria Anavets","Veterinario","Carrer de Gaietà Ventalló, 64, 08100 Mollet del Vallès, Barcelona","Mollet del Vallès","935 70 55 87","http://www.anavets.es/"
"Tiendanimal","Tienda de productos para mascotas","Unnamed Road 08186 P. C. Can Montcau Salida, C-17, 08186 Barcelona","P. C. Can Montcau Salida","935 24 09 81",""
"Pinso Express","Tienda de animales","Gran Via de Lluís Companys, 202, 08330 Premià de Mar, Barcelona","Premià de Mar","937 52 43 68","https://www.instagram.com/pinsoexpress/"
"Animal Company","Tienda de animales","Carrer d'Enric Granados, 10, 08330 Premià de Mar, Barcelona","Premià de Mar","722 66 94 44",""
"Faunarama","Tienda de productos para mascotas","Carrer Sant Jaume, 77, 08291 Ripollet, Barcelona","Ripollet","935 91 29 77","http://www.faunarama.com/"
"Tiendanimal","Tienda de productos para mascotas","Ctra. de Sant Cugat, 08174 Rubí, Barcelona","Rubí","936 26 35 91",""
"WILDCOCO MASCOTES SABADELL","Tienda de productos para mascotas","Ctra. de Terrassa, 336, 08206 Sabadell, Barcelona","Sabadell","626 80 42 87",""
"ACMascotas. AGRO COMERCIAL MASCOTAS SABADELL, SL. ACM","Tienda de productos para mascotas","Carrer d'Amèrica, 1-3, 08205 Sabadell, Barcelona","Sabadell","937 27 63 55","http://www.acmascotas.es/"
"Patamic","Tienda de productos para mascotas","Ronda de Zamenhof, 90-92, 08208 Sabadell, Barcelona","Sabadell","935 11 60 15","https://www.patamic.es/"
"Tiendanimal","Tienda de productos para mascotas","Carrer de Can Borrell, 08205 Sabadell, Barcelona","Sabadell","936 42 23 69",""
"TerranovaCNC 159","Tienda de productos para mascotas","Av. de Matadepera, 76, 08207 Sabadell, Barcelona","Sabadell","937 17 45 44","https://www.terranovacnc.com/"
"Piu Can","Pajarería","Ctra. de Terrassa, 396, 08206 Sabadell, Barcelona","Sabadell","931 81 77 16",""
"Piensos Trepat","Tienda de animales","Carrer Francesc Layret, 66, 08208 Sabadell, Barcelona","Sabadell","937 16 16 02",""
"Javosdog","Peluquero de mascotas","Ctra. de Barcelona, 81, 08201 Sabadell, Barcelona","Sabadell","645 95 15 62","https://www.javosdog.com/"
"TerranovaCNC 145","Tienda de productos para mascotas","Plaça de Barcelona, 13, 08203 Sabadell, Barcelona","Sabadell","937 10 04 62","https://www.terranovacnc.com/"
"TerranovaCNC 113","Tienda de productos para mascotas","Via de Massagué, 3, 08202 Sabadell, Barcelona","Sabadell","937 48 10 57",""
"Tiendanimal","Tienda de productos para mascotas","Carrer de Can Borrell, 08205 Sabadell, Barcelona","Sabadell","936 42 23 69",""
"ENGUMA Mas de 20 Años Al Servicio De Su Mascota","Tienda de productos para mascotas","Carrer de Nàpols, 18, 08207 Sabadell, Barcelona","Sabadell","937 23 45 77",""
"Pinoy Animals Exòtics","Tienda de animales","Carrer d'Edimburg, 4, 08206 Sabadell, Barcelona","Sabadell","931 91 65 81","http://www.pinoy.es/"
"FAUNA SALVAJE- Tienda de Animales Sabadell","Tienda de animales","Carrer de Bernat Boades, 10, 08206 Sabadell, Barcelona","Sabadell","938 09 79 51","http://www.fauna-salvaje.com/"
"Lupovet ibérica","Fabricante de alimentos","Avinguda de Can Roqueta, 10, 08202 Sabadell, Barcelona","Sabadell","616 73 41 86","http://www.lupovet-iberica.es/mas-informacion-sobre-las-cookies/"
"By Mascota Besós - Tienda Mascotas, Peluquería & Consulta Veterinaria","Tienda de productos para mascotas","Av. de Catalunya, 68, local 2, 08930 Sant Adrià de Besòs, Barcelona","Sant Adrià de Besòs","937 68 14 11","https://bymascota.com/tiendas/tiendas-mascotas-barcelona/tienda-mascotas-sant-adria-de-besos/"
"Tiendanimal","Tienda de productos para mascotas","Parc Comercial San Boi, Av. de la Marina, 19, 08830 Sant Boi de Llobregat, Barcelona","Sant Boi de Llobregat","935 22 17 45",""
"Don Canino","Tienda de productos para mascotas","Av. de la Via Augusta, 3, 08174 Sant Cugat del Vallès, Barcelona","Sant Cugat del Vallès","935 76 40 30","http://www.doncanino.com/"
"The Black Dog","Tienda de productos para mascotas","Rambla de Can Móra, 9, 08172 Sant Cugat del Vallès, Barcelona","Sant Cugat del Vallès","677 06 11 22","https://www.instagram.com/theblackdog_bcn"
"Instinto Animal","Tienda de alimentos para animales","Carrer de Josep Puig i Cadafalch, 64, local 6 y 7, 08172 Sant Cugat del Vallès, Barcelona","Sant Cugat del Vallès","623 28 84 85","https://serviciotecnicosantcugat.es/mascotas/"
"Pets Place","Tienda de animales","Rambla del Celler, 25, 08172 Sant Cugat del Vallès, Barcelona","Sant Cugat del Vallès","936 74 70 81","http://www.petslife.es/"
"Dino's Animals","Tienda de productos para mascotas","Av. de Can Graells, 9, 08173 Sant Cugat del Vallès, Barcelona","Sant Cugat del Vallès","936 74 37 17",""
"DOGKING","Criador canino","Avda. de les Roquetes, 41, 08173 Sant Cugat del Vallès, Barcelona","Sant Cugat del Vallès","935 90 93 97","https://www.cobberdogking.com/"
"La Megatenda","Tienda de animales","Carrer de la Mina, 13, 08173 Sant Cugat del Vallès, Barcelona","Sant Cugat del Vallès","936 74 03 01",""
"Dogneer","Peluquero de mascotas","Carrer Plana de l'Hospital, 32, 08173 Sant Cugat del Vallès, Barcelona","Sant Cugat del Vallès","938 08 23 29",""
"JARDILAND","Centro de jardinería","Carretera de Rubí, 08174 Sant Cugat del Vallès, Barcelona","Sant Cugat del Vallès","936 75 04 52","https://jardiland.agendize.com/web/widget/?c=santcugatdelvalles&cs=false&lang=es"
"AquaWorld Sant Cugat","Tienda de acuarios","Carrer del Doctor Murillo, 21, 08172 Sant Cugat del Vallès, Barcelona","Sant Cugat del Vallès","619 46 94 71","http://www.aquaworld-coral.com/"
"Ron i Chic Estètica Canina","Peluquero de mascotas","Carrer d'Àngel Guimerà, 19, 08172 Sant Cugat del Vallès, Barcelona","Sant Cugat del Vallès","931 24 66 16","https://es-es.facebook.com/ronichicpelu/"
"Tiendanimal","Tienda de productos para mascotas","Carrer de Laureà Miró, 363, 08980 Sant Feliu de Llobregat, Barcelona","Sant Feliu de Llobregat","936 11 89 18",""
"Tiendanimal","Tienda de productos para mascotas","Carrer de Laureà Miró, 363, 08980 Sant Feliu de Llobregat, Barcelona","Sant Feliu de Llobregat","936 11 89 18",""
"Els Peluts del Mas LLuí","Tienda de productos para mascotas","Passeig Comte de Vilardaga, 83, 08980 Sant Feliu de Llobregat, Barcelona","Sant Feliu de Llobregat","626 11 63 50",""
"TOKA EL GOS","Tienda de animales","Carrer de Josep Ricart, 13, 08980 Sant Feliu de Llobregat, Barcelona","Sant Feliu de Llobregat","661 86 97 76","https://www.tokaelgos.com/ca/"
"Pels Pèls - Centre","Peluquero de mascotas","Carrer Joan Maragall, 9, 08980 Sant Feliu de Llobregat, Barcelona","Sant Feliu de Llobregat","936 85 49 23","https://www.facebook.com/Pels-P%C3%A8ls-676987779057489/?ref=bookmarks"
"El Templo de tu mascota","Tienda de alimentos para animales","Carrer de Girona, 0001, BX 01, 08980 Sant Feliu de Llobregat, Barcelona","Sant Feliu de Llobregat","722 75 38 66",""
"Mossegador","Tienda de animales","Carrer de Can Calders, 4, 08980 Sant Feliu de Llobregat, Barcelona","Sant Feliu de Llobregat","931 73 28 44",""
"Pets-Pets","Tienda de productos para mascotas","Carrer de Rupert Lladó, 16, 08980 Sant Feliu de Llobregat, Barcelona","Sant Feliu de Llobregat","",""
"Mascotes Ribes","Tienda de alimentos para animales","Carrer de Lluís Companys, 87, 08810 Sant Pere de Ribes, Barcelona","Sant Pere de Ribes","938 96 56 50","http://www.mascotesribes.cat/"
"Kiwoko. Mundo Animal","Tienda de productos para mascotas","Rambla del Garraf, s/n, 08810 Sant Pere de Ribes, Barcelona","Sant Pere de Ribes","938 14 87 95",""
"JARDI-CAN GARRAF","Tienda de productos para mascotas","Plaça la Font, 4, 08810 Sant Pere de Ribes, Barcelona","Sant Pere de Ribes","618 44 28 47","https://jardi-can.com/hola"
"Miscota","Tienda de productos para mascotas","Rambla de Sant Sebastià, 29, 08921 Santa Coloma de Gramenet, Barcelona","Santa Coloma de Gramenet","934 26 55 52","http://www.miscota.es/"
"Juana Dog - Sant Carles","Tienda de productos para mascotas","Carrer de Sant Carles, 40, 08921 Santa Coloma de Gramenet, Barcelona","Santa Coloma de Gramenet","933 90 75 43","https://www.juanadog.com/"
"La Perpetuenca","Mercado de productos agrícolas","a Mollet, Ctra. Sabadell, km. 4, 08130 Santiga, Barcelona","Santiga","935 60 00 60","http://www.laperpetuenca.com/"
"Mrsweet Sitges","Tienda de productos para mascotas","Av. Camí dels Capellans, 14, 08870 Sitges, Barcelona","Sitges","931 73 30 25",""
"Animalis Sitges","Centro de salud y bienestar","Carrer de Santiago Rusiñol, 30, 08870 Sitges, Barcelona","Sitges","604 15 56 90","http://www.animalissitges.com/"
"Misolete","Tienda de animales","Carrer d'Espalter, 9, 08870 Sitges, Barcelona","Sitges","630 18 13 64","https://www.misolete.com/"
"Michi Pet Boutique","Peluquero de mascotas","Carrer de Sant Josep, 20, 08870 Sitges, Barcelona","Sitges","671 22 90 34",""
"Patas y Pelos","Peluquero de mascotas","Carrer de la Sínia Morera, 14, 08870 Sitges, Barcelona","Sitges","667 22 56 09","http://www.patasypelos.es/"
"Playa de mascotas.","Playa pública","08872 Sitges, Barcelona","Sitges","",""
"Doggytech","Tienda de productos para mascotas","Pol. Ind. Mas Alba, Avinguda del Camí Pla, 15, 08870 Sitges, Barcelona","Sitges","610 07 69 93","https://doggytechspain.com/"
"Peluquería Canina DANCING DOG Carmen Pacheco*Julián Oliva","Peluquero de mascotas","Carrer Bonaire, 33, 08870 Sitges, Barcelona","Sitges","653 79 79 58","http://www.julianoliva.eu/"
"Rossmann","Tienda de artículos de aseo personal","Carrer Drets Humans, 11, 08870 Sitges, Barcelona","Sitges","","http://www.rossmann.es/"
"Kiwoko. Mundo Animal","Tienda de productos para mascotas","Av. del Vallès, 484-490, 08227 Terrassa, Barcelona","Terrassa","935 22 22 97",""
"Don Canino","Tienda de productos para mascotas","Centro Comercial Parc Vallès, Carrer de Colom, 450, 08223 Terrassa, Barcelona","Terrassa","938 54 65 46","http://www.doncanino.com/"
"Tiendanimal","Tienda de productos para mascotas","Pol. Sta. Margarida II, parcela 3, 08223 Terrassa, Barcelona","Terrassa","936 69 97 99",""
"EL GRANER D'AROMAI","Tienda de productos para mascotas","Ctra. de Rellinars, 205, 08225 Terrassa, Barcelona","Terrassa","937 80 53 12","https://aromai.cat/"
"Bestioles","Tienda de productos para mascotas","Carrer de Pablo Iglesias, 49, 08224 Terrassa, Barcelona","Terrassa","937 33 30 03",""
"TerranovaCNC 177","Tienda de productos para mascotas","Rambla d'Ègara, 73, 08224 Terrassa, Barcelona","Terrassa","937 93 37 38","https://www.terranovacnc.com/"
"El Racó de la Lola","Tienda de productos para mascotas","Carrer de Tarragona, 96, 08226 Terrassa, Barcelona","Terrassa","601 40 45 99",""
"Animal MAX","Mayorista","Carretera de Rubí, 324, nave C, 08228 Terrassa, Barcelona","Terrassa","937 03 86 86","https://animalmax.es/"
"Agrocenter Munill","Tienda de productos para mascotas","Carrer de Marconi, 238, 08224 Terrassa, Barcelona","Terrassa","937 88 33 75","http://www.munill.cat/"
"Todo Mascota","Tienda de animales","Carrer del Tibidabo, 25, 08227 Terrassa, Barcelona","Terrassa","937 31 27 99",""
"Morritos","Veterinario","Av. de l'Abat Marcet, 30, 08225 Terrassa, Barcelona","Terrassa","937 34 91 95","https://morritos.es/"
"GUAW","Tienda de animales","CC Vilamarina, Av. del Segle XXI, 6, locales 24-26, 08840 Viladecans, Barcelona","Viladecans","930 47 59 92","https://guaw.com/"
"CANIN DOX","Tienda de alimentos para animales","Carrer de la Mare de Déu de Montserrat, 107, bajos 1, 08840 Viladecans, Barcelona","Viladecans","631 64 00 11",""
"La Fauna de Crismi","Peluquero de mascotas","Av. de Gavà, 24, 08840 Viladecans, Barcelona","Viladecans","680 85 16 26","https://jamc1727.wixsite.com/lafaunadecrismi-1"
"VILAMASCOTAS","Peluquero de mascotas","Ctra. de Sant Climent, 46, 08840 Viladecans, Barcelona","Viladecans","936 58 73 52",""
"Reptil Parc","Tienda de animales","Carretera de Barcelona, 2-4, Tienda, 08840 Viladecans, Barcelona","Viladecans","936 31 68 72",""
"Comercial Bertrán","Tienda de productos para mascotas","Carrer de la Forja, 5, 08840 Viladecans, Barcelona","Viladecans","936 58 74 13",""
"Más Que Piensos","Tienda de alimentos para animales","Rambla dels Països Catalans, 18, nave 20, 08800 Vilanova i la Geltrú, Barcelona","Vilanova i la Geltrú","931 79 07 45","http://www.masquepiensos.com/"
"Miscota","Tienda de productos para mascotas","Carrer de la Piera, 1, 08800 Vilanova i la Geltrú, Barcelona","Vilanova i la Geltrú","938 11 58 70","http://www.miscota.es/"
"The Green Dog Vilanova | Alimentación natural","Tienda de alimentos para animales","Av. de Cubelles, 23, 08800 Vilanova i la Geltrú, Barcelona","Vilanova i la Geltrú","938 16 07 93","https://www.instagram.com/thegreendogvilanova/"
"Mascotas La Collada","Tienda de productos para mascotas","Av. de la Torre del Vallès, 35, 08800 Vilanova i la Geltrú, Barcelona","Vilanova i la Geltrú","670 41 26 92","https://www.instagram.com/mascotaslacollada/"
"Puppies Vilanova","Tienda de animales","Carrer de Sant Sebastià, 14, 08800 Vilanova i la Geltrú, Barcelona","Vilanova i la Geltrú","931 18 96 71","http://www.facebook.com/puppiesvilanova"
"Ricky Mascotas","Tienda de productos para mascotas","Carrer de Josep Coroleu, 70, 08800 Vilanova i la Geltrú, Barcelona","Vilanova i la Geltrú","656 93 44 95","https://www.rickipajaritos.es/es/"
"Peluts Mimats - Perruqueria canina i felina","Peluquero de mascotas","Rambla dels Països Catalans, 18, nave 20, 08800 Vilanova i la Geltrú, Barcelona","Vilanova i la Geltrú","683 65 00 87",""
"Inseparables","Tienda de productos para mascotas","Carrer de Pere Jacas, 27, 08800 Vilanova i la Geltrú, Barcelona","Vilanova i la Geltrú","656 40 53 99","https://www.inseparables.es/"
"Clínica Veterinària Puig i Pons","Veterinario","Rambla Josep Tomàs Ventosa, 18 bis, 08800 Vilanova i la Geltrú, Barcelona","Vilanova i la Geltrú","938 93 82 32","http://www.puigipons.com/"
"AMICS VETERINARI","Veterinario","Carrer de Menéndez y Pelayo, 48, 08800 Vilanova i la Geltrú, Barcelona","Vilanova i la Geltrú","930 24 62 13","https://www.instagram.com/veterinaria_amics/"
"Rucan","Tienda de productos para mascotas","Carrer Manuel Ventura Campeny, 7, 08339 Vilassar de Dalt, Barcelona","Vilassar de Dalt","625 20 84 54","http://www.rucan.es/"
"Nel-Vet Megastore | Tienda de Animales en Vilassar","Tienda de productos para mascotas","Av. del Progrés, 53, 08340 Vilassar de Mar, Barcelona","Vilassar de Mar","937 59 87 07","https://nel-vet-megastore.com/"
